"","country","n"
"1","AUS",120
"2","BRA",179
"3","CHE",106
"4","COL",136
"5","DEU",619
"6","ESP",110
"7","FRA",245
"8","GBR",105
"9","HUN",256
"10","IND",110
"11","ISR",107
"12","ITA",34
"13","JPN",213
"14","KEN",106
"15","NGA",113
"16","NOR",119
"17","POL",271
"18","TUR",306
"19","USA",623
