country,n
AUS,120
BRA,179
CHE,106
COL,136
DEU,619
ESP,110
FRA,245
GBR,105
HUN,256
IND,110
ISR,107
ITA,34
JPN,213
KEN,106
NGA,113
NOR,119
POL,271
TUR,306
USA,623
